query	taxid	go
NODE_105_length_430_cov_2.030812_g100_i0	9606	GO:0061844;GO:0005515;GO:0003735;GO:0000184;GO:0002181;GO:0031640;GO:0006614;GO:0006413;GO:0006412;GO:0003723;GO:0050829
NODE_106_length_429_cov_1.553371_g101_i0	9595	GO:1905573;GO:0006687;GO:0071310;GO:0060742;GO:0002576;GO:0005515;GO:0019216;GO:0007193;GO:0043408;GO:0008289;GO:1905576;GO:0006665;GO:0001664;GO:1905575;GO:0008047;GO:0006629;GO:0006869;GO:1905577;GO:0043312;GO:0010506;GO:0060736;GO:0043085;GO:0007186;GO:1905574;GO:0042803;GO:0005543;GO:1903206;GO:0004565;GO:1905572;GO:0048589;GO:0043410
NODE_107_length_427_cov_1.440678_g102_i0	419109	GO:0046677;GO:0005515;GO:0016787;GO:0008800;GO:0046872;GO:0030655
NODE_108_length_427_cov_0.954802_g103_i0	981085	GO:0015977;GO:0000287;GO:0016984
NODE_109_length_425_cov_7.897727_g104_i0	225400	GO:0006355
NODE_110_length_422_cov_1.406877_g105_i0	9606	GO:0008083;GO:0004860;GO:0010469;GO:0006468;GO:2000249;GO:0008047;GO:0071933;GO:0043312;GO:0043085;GO:0034316;GO:0071846;GO:0003779;GO:0006469
NODE_111_length_418_cov_1.350725_g106_i0	9606	GO:0010760;GO:0032760;GO:0033981;GO:0050729;GO:0005126;GO:0042438;GO:0016829;GO:0050178;GO:0004167;GO:0070374
NODE_112_length_417_cov_5.191860_g107_i0	225400	GO:0003735;GO:0006414
NODE_114_length_414_cov_2.689150_g109_i0	9258	GO:0005515;GO:0016787;GO:0003735;GO:0000184;GO:0000049;GO:0006614;GO:0006413;GO:0006412;GO:0003723;GO:0000028
NODE_115_length_413_cov_1.035294_g110_i0	9606	GO:0016597;GO:0005515;GO:0016787;GO:0043105;GO:0004857;GO:0065003;GO:0042133;GO:0044549;GO:0030742;GO:0051186;GO:0051291;GO:0009890;GO:0019899;GO:0006809
NODE_116_length_412_cov_1.802360_g111_i0	1268978	GO:0045892;GO:0042802;GO:0001141;GO:0003677;GO:0000986;GO:0006355;GO:0006351
NODE_117_length_408_cov_194.214925_g112_i0	8364	GO:0004672;GO:0006468;GO:0005524;GO:0000166;GO:0004674
NODE_118_length_407_cov_3.179641_g113_i0	9598	GO:0003735;GO:0002181;GO:0006412;GO:0019843
NODE_119_length_403_cov_1.527273_g114_i0	9606	GO:0008375;GO:0006687;GO:0044267;GO:0009313;GO:0008654;GO:0005515;GO:0016787;GO:0042340;GO:0007341;GO:0030207;GO:0006689;GO:0030203;GO:0008152;GO:0008360;GO:0043615;GO:0102148;GO:0004563;GO:0008049;GO:0045944;GO:0050885;GO:0048477;GO:0030214;GO:0046982;GO:0019953;GO:0004553;GO:0043312;GO:0031323;GO:0007338;GO:0005975;GO:0006874;GO:0007040;GO:0042552;GO:0042803;GO:0016798;GO:0019915;GO:0007626;GO:0007605;GO:0050905;GO:0001501
NODE_120_length_402_cov_2.428571_g115_i0	8665	GO:0046872
NODE_121_length_402_cov_1.583587_g116_i0	9595	GO:0060337;GO:0016793;GO:0006260;GO:0046061;GO:0003697;GO:0016787;GO:0005515;GO:0045087;GO:0006203;GO:0008152;GO:0051289;GO:0042802;GO:0003824;GO:0045088;GO:0005525;GO:0000724;GO:0110025;GO:0004540;GO:0003723;GO:0016446;GO:0009264;GO:0032567;GO:0008832;GO:0002376;GO:0000166;GO:0008270;GO:0006974;GO:0006281;GO:0090501;GO:0051607;GO:0003676;GO:0046872;GO:0006955;GO:0060339
NODE_123_length_400_cov_1.174312_g118_i0	9595	GO:0005515;GO:0042493;GO:0016740;GO:0003677;GO:0003950;GO:0006974;GO:0006471;GO:0006281;GO:0008219;GO:0051972;GO:0006954;GO:0006464;GO:0016757;GO:0019899
NODE_124_length_399_cov_2.153374_g119_i0	9541	GO:0003735;GO:0006412
NODE_125_length_399_cov_1.398773_g120_i0	4113	GO:0003735;GO:0006412
NODE_126_length_398_cov_3.676923_g121_i0	37623	GO:0003735;GO:0006412;GO:0003723;GO:0019843;GO:0046872
NODE_127_length_396_cov_2.269350_g122_i0	9606	GO:0010951;GO:0030193;GO:0045916;GO:0004867
NODE_128_length_395_cov_10.751553_g123_i0	741158	GO:0006123;GO:0005515;GO:0020037;GO:0004129;GO:0006979;GO:1902600;GO:0015990;GO:0055114;GO:0006119;GO:0051602;GO:0016491;GO:0021549;GO:0046688;GO:0009060;GO:0007568;GO:0046872;GO:0022900
NODE_129_length_395_cov_1.403727_g124_i0	9595	GO:0051015;GO:0005515;GO:0051693;GO:0065003;GO:0045296;GO:0022617;GO:0071803;GO:0044877;GO:0051016;GO:0003779;GO:0019904
NODE_130_length_394_cov_1.024922_g125_i0	456482	GO:0009231;GO:0016829;GO:0016853;GO:0008686;GO:0046872
NODE_131_length_394_cov_0.962617_g126_i0	10090	GO:0034975;GO:0045494;GO:0008150;GO:0060041;GO:0003674
NODE_132_length_393_cov_1.034375_g127_i0	9606	GO:0060304;GO:0006661;GO:0052629;GO:0016791;GO:0048666;GO:0052866;GO:0016787;GO:0005515;GO:0045806;GO:0051262;GO:0032288;GO:0090394;GO:0046855;GO:0046488;GO:0008138;GO:0006629;GO:2000643;GO:2000645;GO:0035335;GO:0004438;GO:0097062;GO:0006470;GO:0016311;GO:0031642;GO:0004725;GO:0042803;GO:0046856;GO:0002091
NODE_134_length_391_cov_1.311321_g129_i0	9940	GO:0016310;GO:0060161;GO:0050728;GO:0005515;GO:0004672;GO:2000331;GO:0050882;GO:0010821;GO:0015031;GO:1903364;GO:0099003;GO:0016301;GO:0006468;GO:1905166;GO:0016032;GO:1902823;GO:0010628;GO:0099074;GO:0090263;GO:0006886;GO:1990126;GO:0033365;GO:0006624;GO:0016055;GO:0031748;GO:0008150;GO:1902950;GO:0043653;GO:1901215;GO:0005524;GO:1903828;GO:0008565;GO:0010629;GO:0003674;GO:0007416;GO:0098887;GO:0031648;GO:0007040;GO:0016241;GO:0090141;GO:0032268;GO:0042147;GO:0090326;GO:0032463;GO:1905606;GO:0099639;GO:0061357;GO:0031647;GO:0060548;GO:1903181;GO:0045056
NODE_135_length_390_cov_2.236593_g130_i0	1196322	GO:0004553;GO:0005975
NODE_136_length_389_cov_1.303797_g131_i0	9606	GO:0009055;GO:0006091;GO:0008121;GO:0055114;GO:0022900
NODE_137_length_389_cov_1.291139_g132_i0	9595	GO:0030449;GO:0007596;GO:0010951;GO:0030193;GO:0002576;GO:0045916;GO:0005515;GO:0045087;GO:0007599;GO:0042730;GO:0010466;GO:0030414;GO:0008015;GO:0006958;GO:0007597;GO:0002376;GO:0004867;GO:0007568;GO:0001869
NODE_138_length_388_cov_0.980952_g133_i0	9606	GO:0007286;GO:0003723;GO:0098609;GO:0009566;GO:0060009
NODE_139_length_388_cov_0.961905_g134_i0	9595	GO:0071346;GO:0035458;GO:0070102;GO:1990841;GO:0071345;GO:0046725;GO:0060333;GO:0001937;GO:0000978;GO:0043542;GO:0007165;GO:0042802;GO:0070491;GO:0002053;GO:0007221;GO:0045944;GO:0045648;GO:0010742;GO:0006919;GO:0042393;GO:0014070;GO:0003677;GO:0034097;GO:0045893;GO:0000122;GO:0005164;GO:0051770;GO:0000979;GO:0043565;GO:0033209;GO:0016525;GO:0051607;GO:0051591;GO:0043434;GO:0042803;GO:0032869;GO:0035035;GO:0072162;GO:0035456;GO:0060337;GO:0000981;GO:0007259;GO:0003690;GO:0005515;GO:0060334;GO:0051721;GO:0003700;GO:0042493;GO:0009612;GO:0000983;GO:0016032;GO:0045296;GO:0008015;GO:0019221;GO:0006355;GO:0072308;GO:0070757;GO:0038114;GO:0006357;GO:0071407;GO:0007584;GO:0061326;GO:0031730;GO:0043124;GO:0072136;GO:0070106;GO:0032727;GO:0042542;GO:0000982;GO:0035257;GO:0048661;GO:0044389;GO:0003340;GO:0042981;GO:0002230;GO:0019899;GO:0038113;GO:0008284
NODE_140_length_387_cov_1.789809_g135_i0	9606	GO:0007596;GO:0045742;GO:0030377;GO:0042730;GO:0007165;GO:2001243;GO:0006935;GO:0043388;GO:0038195;GO:0090200;GO:0016310;GO:0005102;GO:0005515;GO:0016301;GO:0043066;GO:0038023;GO:0030162;GO:0043312;GO:0001934;GO:2001268;GO:0019904;GO:0019899
NODE_141_length_385_cov_1.766026_g136_i0	644	GO:0016746;GO:0046677;GO:0008811;GO:0016740
NODE_142_length_383_cov_2.832258_g137_i0	9646	GO:0003735;GO:0006412;GO:0003676;GO:0003723
NODE_143_length_383_cov_1.303226_g138_i0	9606	GO:0015031;GO:0016197;GO:0007032
NODE_144_length_374_cov_3.970100_g139_i0	457416	GO:0016787
NODE_145_length_374_cov_1.342193_g140_i0	9544	GO:0016538;GO:0004672;GO:0051726;GO:0000278;GO:0007088;GO:0000079;GO:0019901;GO:0006468;GO:0045787;GO:0007283;GO:0008284
NODE_146_length_374_cov_1.162791_g141_i0	9544	GO:0003735;GO:0000027;GO:0006412;GO:0019843
NODE_147_length_371_cov_1.791946_g142_i0	9595	GO:0008233;GO:0016485;GO:0002250;GO:0022617;GO:0005518;GO:0004197;GO:0030574;GO:0034769;GO:0001968;GO:0048002;GO:0043394;GO:0002224;GO:0019886;GO:0051603;GO:0016787;GO:0008234;GO:0006508;GO:0097067;GO:0043312;GO:2001259;GO:0004252;GO:0019882;GO:0043236;GO:0010447;GO:0006955
NODE_148_length_370_cov_1.033670_g143_i0	9595	GO:0008233;GO:0006518;GO:0071345;GO:0004222;GO:0008237;GO:0002003;GO:0004175;GO:0071492;GO:0050435;GO:0005515;GO:0016787;GO:0019233;GO:0071493;GO:0090399;GO:0042277;GO:0006508;GO:0008238;GO:0046449;GO:0001822;GO:0097242;GO:0043312;GO:0008270;GO:0046872
NODE_150_length_368_cov_2.711864_g145_i0	981085	GO:0030001;GO:0046873
NODE_151_length_368_cov_1.623729_g146_i0	61853	GO:0018479;GO:0055114;GO:0006081;GO:0000166;GO:0016491;GO:0005096;GO:0006069;GO:0061624;GO:0001758;GO:0004029;GO:0001523;GO:0043547;GO:0016620;GO:0005497;GO:0042572;GO:0051287;GO:0120163
NODE_153_length_362_cov_1.076125_g148_i0	9595	GO:0004520;GO:0004518;GO:0006259;GO:0016787;GO:0006309;GO:0004531;GO:0004519
NODE_154_length_362_cov_1.010381_g149_i0	9606	GO:0051015;GO:0003735;GO:0006364;GO:0006412;GO:0042254;GO:0006397;GO:0007517;GO:0003779;GO:0005515;GO:0000398;GO:0008380;GO:0003723
NODE_155_length_360_cov_3.372822_g150_i0	9606	GO:1902230;GO:0006874;GO:0005509;GO:0009615;GO:0005515;GO:0043066;GO:0006816;GO:0003723;GO:0042981
NODE_156_length_356_cov_1.197880_g151_i0	9595	GO:0048008;GO:0048365;GO:0019903;GO:0008543;GO:0007165;GO:0051894;GO:0072015;GO:0034260;GO:0035305;GO:0036120;GO:0005516;GO:0071364;GO:0003676;GO:0043087;GO:0005509;GO:0005096;GO:0016477;GO:0007346;GO:1903829;GO:0019901;GO:0005515;GO:1990138;GO:0005095;GO:0071902;GO:0007173;GO:1904754;GO:1900006;GO:0032947;GO:0045296;GO:0005547;GO:0044548;GO:1900086;GO:0031267;GO:0017048;GO:0006355;GO:0043539;GO:0043547;GO:0044877;GO:0071277;GO:0051019;GO:1990776;GO:0043312;GO:0045860;GO:0043406;GO:0044344;GO:0001817;GO:0019904
NODE_157_length_355_cov_2.783688_g152_i0	9606	GO:0060333;GO:0042605;GO:0002504;GO:0019886;GO:0032395;GO:0002376;GO:0019882;GO:0050852;GO:0006955
NODE_159_length_355_cov_1.035461_g154_i0	9595	GO:0030335;GO:0032436;GO:0090090;GO:0038024;GO:0060766;GO:0032091;GO:0015031;GO:0006915;GO:0016055;GO:2000643;GO:0045893;GO:0010862;GO:0035615;GO:0007229;GO:0046332;GO:0045807;GO:2000370;GO:0005515;GO:0045892;GO:1903077;GO:0030154;GO:2000096;GO:0043066;GO:0035026;GO:0008022;GO:0007275;GO:0006898;GO:0008283;GO:0006897;GO:0001934;GO:0060391;GO:0010718;GO:0061024;GO:0030511
NODE_160_length_354_cov_2.594306_g155_i0	10090	GO:0048027;GO:0043009;GO:0003735;GO:0003729;GO:0048146;GO:0000184;GO:0031369;GO:0006413;GO:0006412;GO:0045727;GO:0045471;GO:0016787;GO:0005515;GO:0030154;GO:0043066;GO:0006614;GO:0003723
NODE_161_length_354_cov_1.448399_g156_i0	10090	GO:0060100;GO:0019903;GO:1905563;GO:0042593;GO:0061614;GO:0060694;GO:0019216;GO:0033189;GO:0008285;GO:0002024;GO:0070888;GO:0007507;GO:0042802;GO:0051974;GO:0030522;GO:0046965;GO:0010742;GO:0055088;GO:0006919;GO:0014070;GO:0003677;GO:2000230;GO:0001103;GO:0001012;GO:0032385;GO:0045893;GO:0000122;GO:0004955;GO:0008144;GO:0043388;GO:0032526;GO:0001078;GO:0050714;GO:0032869;GO:0010871;GO:0043537;GO:0030855;GO:0010891;GO:1900077;GO:0001890;GO:0003690;GO:0050544;GO:1903076;GO:0050692;GO:0003682;GO:0002674;GO:0045892;GO:0042493;GO:0060336;GO:0030374;GO:0035902;GO:0071455;GO:0007275;GO:0005504;GO:0038023;GO:0030331;GO:0032094;GO:0009416;GO:0046982;GO:0002021;GO:0071407;GO:0010033;GO:0007584;GO:0007186;GO:0045165;GO:0015909;GO:0032966;GO:0004879;GO:0071379;GO:0003707;GO:0031100;GO:0046321;GO:0043627;GO:0071306;GO:0001818;GO:0007165;GO:0090278;GO:0001227;GO:1905461;GO:0048469;GO:0042752;GO:0071300;GO:0000977;GO:0045944;GO:0050873;GO:0071285;GO:0006629;GO:0010468;GO:0019395;GO:0050693;GO:0051091;GO:0043565;GO:0045713;GO:1904706;GO:0030308;GO:0016525;GO:0010887;GO:0044212;GO:0006954;GO:0010745;GO:0045444;GO:0051393;GO:0008134;GO:0008217;GO:0000981;GO:0048714;GO:0043621;GO:0043065;GO:0035357;GO:0005515;GO:0031000;GO:0045087;GO:0003700;GO:0033613;GO:0033993;GO:0009612;GO:0030154;GO:0045600;GO:0042277;GO:0008289;GO:0008022;GO:0071380;GO:0060850;GO:0006367;GO:0031394;GO:0010875;GO:0071404;GO:1901558;GO:0001228;GO:0006355;GO:0050872;GO:0060965;GO:0000976;GO:0010629;GO:0050699;GO:0006357;GO:0006631;GO:0008270;GO:0042953;GO:0009755;GO:0048662;GO:0045598;GO:0009409;GO:0048511;GO:0046872;GO:0042594;GO:0043401;GO:0019899;GO:0030224
NODE_162_length_352_cov_1.584229_g157_i0	9595	GO:0006002;GO:0003824;GO:0006098;GO:0005999;GO:0009052;GO:0005975;GO:0016740;GO:0035722;GO:0030246;GO:0005515;GO:0048029;GO:0019682;GO:0004801
NODE_163_length_352_cov_1.329749_g158_i0	9606	GO:0007596;GO:0031625;GO:0047555;GO:0007507;GO:0008603;GO:0001707;GO:0019934;GO:0007143;GO:0045835;GO:0034199;GO:0034236;GO:0004862;GO:0003091;GO:0000166;GO:2000480;GO:0045214;GO:0006469;GO:0045859;GO:0005515;GO:0071377;GO:0030552;GO:0046007;GO:0035556;GO:0001932;GO:0060038;GO:0006357;GO:0019904
NODE_164_length_351_cov_7.309353_g159_i0	243233	GO:0008150;GO:0003674
NODE_165_length_351_cov_2.050360_g160_i0	419612	GO:0003735;GO:0006412
NODE_166_length_351_cov_1.003597_g161_i0	450749	GO:0016620;GO:0055114;GO:0016491
NODE_167_length_350_cov_1.119134_g162_i0	9606	GO:0003677;GO:0000981;GO:0016032;GO:0006357;GO:0046872
NODE_168_length_349_cov_1.123188_g163_i0	9595	GO:0004672;GO:0005524;GO:0046329;GO:0004709;GO:0000165;GO:0032874;GO:0004674;GO:0016310;GO:0016301;GO:0032147;GO:0016740;GO:0023014;GO:0006974;GO:0046330;GO:0007095;GO:0031098;GO:0000186;GO:0046777;GO:0000166;GO:0043507;GO:0006469;GO:0004860;GO:0005515;GO:0006468;GO:0006281
NODE_169_length_349_cov_1.043478_g164_i0	83333	GO:0042802;GO:0003677;GO:0045892;GO:0001141;GO:0000986;GO:0006351;GO:0006355
NODE_170_length_348_cov_1.676364_g165_i0	4113	GO:0003735;GO:0006412
NODE_171_length_348_cov_1.483636_g166_i0	9595	GO:0051865;GO:0001525;GO:2000051;GO:0051260;GO:0000209;GO:0016740;GO:0016567;GO:0002040;GO:0006511;GO:0004842;GO:0016787;GO:0016887;GO:0046872
NODE_172_length_348_cov_1.130909_g167_i0	9913	GO:1903608;GO:0001682;GO:0006396;GO:0008033;GO:0042780;GO:0071045;GO:0000049;GO:0003723;GO:0006409;GO:0075522;GO:0003676;GO:1990825;GO:0008266
NODE_173_length_347_cov_1.854015_g168_i0	9595	GO:0008089;GO:0032438;GO:0018394;GO:0016197;GO:0005515;GO:0048490;GO:0032418;GO:0031175;GO:0060155;GO:0009060
NODE_174_length_347_cov_1.697080_g169_i0	450749	GO:0019516;GO:0051536
NODE_175_length_345_cov_1.319853_g170_i0	9606	GO:0072011;GO:0050904;GO:0043542;GO:0001525;GO:0007155;GO:0050900;GO:0072672;GO:0002576;GO:0042531;GO:0030334;GO:0006909;GO:0007165;GO:0007266;GO:0030198;GO:0007156;GO:0042803;GO:0007159;GO:0005515;GO:0008037;GO:0043312;GO:0001886;GO:0090673;GO:0042060;GO:0098742
NODE_176_length_345_cov_1.121324_g171_i0	1256574	GO:0004747;GO:0008686;GO:0016310;GO:0016301;GO:0046835;GO:0016740;GO:0009231;GO:0016829;GO:0016853;GO:0046872
NODE_177_length_344_cov_1.789668_g172_i0	1403949	GO:0008233;GO:0005524;GO:0046983;GO:0006457;GO:0000166;GO:0051082;GO:0006508;GO:0008270;GO:0046872
NODE_178_length_344_cov_1.147601_g173_i0	9595	GO:0060766;GO:0019216;GO:0042826;GO:0046965;GO:0072362;GO:0003677;GO:0040014;GO:0001012;GO:0000122;GO:0046329;GO:0035033;GO:0072368;GO:0060318;GO:0003682;GO:0021794;GO:0001102;GO:0045892;GO:0002361;GO:0042974;GO:0030331;GO:2000191;GO:0003714;GO:0031065;GO:0032922;GO:0008284;GO:0046966;GO:0051225;GO:0014067;GO:0043565;GO:0007623;GO:1904017;GO:0044212;GO:0042975;GO:0006325;GO:0002155;GO:0000981;GO:0005515;GO:0003700;GO:0010629;GO:0006357;GO:0042632;GO:1903799;GO:0006366;GO:0035257;GO:0019904
NODE_179_length_344_cov_0.822878_g174_i0	9606	GO:0017185;GO:0030199;GO:0015031;GO:0008333;GO:0043687;GO:0007283;GO:0032963;GO:0097352;GO:0005515;GO:0030154;GO:0006886;GO:0044877
NODE_180_length_342_cov_6.494424_g175_i0	9606	GO:0003735;GO:0006364;GO:0006919;GO:0003677;GO:0006978;GO:0042771;GO:0006614;GO:0003723;GO:0000028;GO:0008283;GO:0008656;GO:0000184;GO:0006413;GO:0006412;GO:0031571;GO:0045727;GO:0016787;GO:0005515;GO:0008494;GO:0008270;GO:0046872
NODE_181_length_342_cov_3.107807_g176_i0	1316444	GO:0016787
NODE_182_length_342_cov_2.375465_g177_i0	243233	GO:0008150;GO:0003674
NODE_183_length_342_cov_1.721190_g178_i0	9595	GO:0008150;GO:0061484;GO:0003723;GO:0007339;GO:0003674;GO:0005515
NODE_184_length_341_cov_0.996269_g179_i0	9986	GO:0008584;GO:0003924;GO:0003677;GO:0070966;GO:0003723;GO:0007165;GO:0000166;GO:0003676;GO:0005515;GO:0005525;GO:0006355
NODE_185_length_339_cov_1.947368_g180_i0	450749	GO:0019430;GO:0005506;GO:0004784;GO:0055114;GO:0016491
NODE_186_length_339_cov_0.740602_g181_i0	9606	GO:1900245;GO:0051151;GO:0006275;GO:0003682;GO:0045787;GO:0003723;GO:0002376;GO:1900087;GO:0001955;GO:0003676;GO:1900246;GO:0005515;GO:0045087;GO:0016032;GO:0042742;GO:0043123
NODE_187_length_338_cov_1.162264_g182_i0	572265	GO:0008233;GO:0006508
NODE_188_length_338_cov_1.162264_g183_i0	766145	GO:0003899;GO:0003677;GO:0001123;GO:2000142;GO:0010468;GO:0016987;GO:0006352;GO:0003700;GO:0006355
NODE_190_length_336_cov_1.463878_g185_i0	9541	GO:0003677;GO:0006471;GO:0006464;GO:0042493;GO:0016740;GO:0006974;GO:0051972;GO:0006954;GO:0016757;GO:0005515;GO:0003950;GO:0006281;GO:0008219;GO:0019899
NODE_191_length_334_cov_1.793103_g186_i0	9606	GO:0008150;GO:0003674
NODE_192_length_333_cov_3.857692_g187_i0	9606	GO:0006614;GO:0003723;GO:0000184;GO:0006413;GO:0006412;GO:0005515
NODE_193_length_333_cov_1.196154_g188_i0	562	GO:0103047;GO:0008152;GO:0008706;GO:0015926;GO:0008422;GO:0004553;GO:0005975;GO:0016798;GO:0016052;GO:0016787
NODE_194_length_333_cov_0.896154_g189_i0	9595	GO:0008233;GO:0044255;GO:0042759;GO:0044267;GO:0003723;GO:0006691;GO:0004301;GO:0019370;GO:0043171;GO:0008237;GO:0004463;GO:0005515;GO:0016787;GO:0006508;GO:0070006;GO:0004177;GO:0043312;GO:0008270;GO:0046872
NODE_195_length_331_cov_3.926357_g190_i0	463191	GO:0016787
NODE_196_length_331_cov_1.651163_g191_i0	9606	GO:0042989;GO:0030334;GO:0003785;GO:0003779;GO:0007015;GO:0005515
NODE_197_length_331_cov_1.205426_g192_i0	981085	GO:0030001;GO:0046873
NODE_198_length_331_cov_1.201550_g193_i0	9595	GO:0003677;GO:0003725;GO:0007275;GO:0003723;GO:0003676;GO:0005515;GO:0008270;GO:0003727
NODE_199_length_329_cov_2.359375_g194_i0	9615	GO:0003735;GO:0002181;GO:0006614;GO:0003723;GO:0000184;GO:0006413;GO:0006412;GO:0005515
NODE_201_length_328_cov_1.223529_g196_i0	9606	GO:0034379;GO:0010742;GO:0008202;GO:0034736;GO:0000062;GO:0016740;GO:0008374;GO:0010878;GO:0008203;GO:0034383;GO:0033344;GO:0016746;GO:0006629;GO:0042986;GO:0034435;GO:0005515;GO:0015485;GO:0042632;GO:0004772
NODE_202_length_325_cov_1.226190_g197_i0	9595	GO:0004473;GO:0072592;GO:0004470;GO:0006099;GO:0055114;GO:0016491;GO:0004471;GO:0008948;GO:0006090;GO:0048037;GO:0051287;GO:0009060;GO:0006108;GO:0046872
NODE_203_length_324_cov_1.243028_g198_i0	479436	GO:0005506;GO:0016226;GO:0051536
NODE_204_length_322_cov_30.048193_g199_i0	9606	GO:0014070;GO:0032981;GO:0042493;GO:0033194;GO:0008137;GO:0003954;GO:0055114;GO:0006120;GO:0016491;GO:0005515;GO:0009060
NODE_205_length_322_cov_2.831325_g200_i0	9606	GO:0008285
NODE_206_length_322_cov_1.253012_g201_i0	9595	GO:0003824;GO:0006396;GO:0005524;GO:0003963;GO:0003723;GO:0000166;GO:0016874
NODE_207_length_321_cov_1.790323_g202_i0	9606	GO:0071157;GO:0061515;GO:0030854;GO:0045660;GO:2000035;GO:0043066
NODE_209_length_320_cov_1.093117_g204_i0	585035	GO:0008033;GO:0050660;GO:0002098
NODE_210_length_320_cov_0.947368_g205_i0	9595	GO:0015031;GO:0042802;GO:0007286;GO:0008333;GO:0007030;GO:0030705;GO:0051959;GO:0008017;GO:0007275;GO:0007283;GO:0031122;GO:1905198;GO:0007040;GO:0003779;GO:0005515;GO:0030154;GO:0045022;GO:0007032
NODE_211_length_318_cov_2.204082_g206_i0	1268978	GO:0008152;GO:0042802;GO:0003677;GO:0007059;GO:0005524;GO:0045893;GO:0051301;GO:0000920;GO:0015616;GO:0016798;GO:0006970;GO:0000166;GO:0043565;GO:0009651;GO:0005515;GO:0016787;GO:0016887;GO:0033676;GO:0043085;GO:0071236;GO:0007049
